"TRUCK","ACTIVE","SENDFUEL","SENDROUTE","TANKCAP","AVGMPG","SATTYPE"
"     1         ","Y","Y","Y",200,6.00," "
"   243         ","Y","Y","Y",200,6.00," "
"   244         ","Y","Y","Y",200,6.00," "
"   245         ","Y","Y","Y",200,6.00," "
"   246         ","Y","Y","Y",200,6.00," "
"  1330         ","Y","Y","Y",230,6.00," "
"  1334         ","Y","Y","Y",230,6.00," "
"  1336         ","Y","Y","Y",230,6.00," "
"  1340         ","Y","Y","Y",230,6.00," "
"  1341         ","Y","Y","Y",230,6.00," "
"  1345         ","Y","Y","Y",230,6.00," "
"  1348         ","Y","Y","Y",230,6.00," "
"  1352         ","Y","Y","Y",230,6.00," "
"  1354         ","Y","Y","Y",230,6.00," "
"  1357         ","Y","Y","Y",230,6.00," "
"  1360         ","Y","Y","Y",230,6.00," "
"  1361         ","Y","Y","Y",230,6.00," "
"  1363         ","Y","Y","Y",230,6.00," "
"  1364         ","Y","Y","Y",230,6.00," "
"  1365         ","Y","Y","Y",230,6.00," "
"  1366         ","Y","Y","Y",230,6.00," "
"  1369         ","Y","Y","Y",230,6.00," "
"  1370         ","Y","Y","Y",250,6.00," "
"  1371         ","Y","Y","Y",250,6.00," "
"  1372         ","Y","Y","Y",250,6.00," "
"  1373         ","Y","Y","Y",250,6.00," "
"  1374         ","Y","Y","Y",250,6.00," "
"  1375         ","Y","Y","Y",250,6.00," "
"  1376         ","Y","Y","Y",250,6.00," "
"  1377         ","Y","Y","Y",250,6.00," "
"  1378         ","Y","Y","Y",250,6.00," "
"  1379         ","Y","Y","Y",250,6.00," "
"  1380         ","Y","Y","Y",250,6.00," "
"  1381         ","Y","Y","Y",250,6.00," "
"  1382         ","Y","Y","Y",250,6.00," "
"  1383         ","Y","Y","Y",250,6.00," "
"  1384         ","Y","Y","Y",250,6.00," "
"  1385         ","Y","Y","Y",250,6.00," "
"  1386         ","Y","Y","Y",250,6.00," "
"  1387         ","Y","Y","Y",250,6.00," "
"  1388         ","Y","Y","Y",250,6.00," "
"  1389         ","Y","Y","Y",250,6.00," "
"  1390         ","Y","Y","Y",250,6.00," "
"  1391         ","Y","Y","Y",250,6.00," "
"  1392         ","Y","Y","Y",250,6.00," "
"  1393         ","Y","Y","Y",250,6.00," "
"  1395         ","Y","Y","Y",250,6.00," "
"  1396         ","Y","Y","Y",250,6.00," "
"  1397         ","Y","Y","Y",250,6.00," "
"  1398         ","Y","Y","Y",250,6.00," "
"  1399         ","Y","Y","Y",250,6.00," "
"  1400         ","Y","Y","Y",250,6.00," "
"  1401         ","Y","Y","Y",250,6.00," "
"  1403         ","Y","Y","Y",250,6.00," "
"  1404         ","Y","Y","Y",250,6.00," "
"  1405         ","Y","Y","Y",250,6.00," "
"  1406         ","Y","Y","Y",250,6.00," "
"  1407         ","Y","Y","Y",250,6.00," "
"  1408         ","Y","Y","Y",250,6.00," "
"  1409         ","Y","Y","Y",250,6.00," "
"  1410         ","Y","Y","Y",250,6.00," "
"  1411         ","Y","Y","Y",250,6.00," "
"  1412         ","Y","Y","Y",250,6.00," "
"  1413         ","Y","Y","Y",250,6.00," "
"  1414         ","Y","Y","Y",250,6.00," "
"  1415         ","Y","Y","Y",250,6.00," "
"  1416         ","Y","Y","Y",250,6.00," "
"  1417         ","Y","Y","Y",250,6.00," "
"  1418         ","Y","Y","Y",250,6.00," "
"  1419         ","Y","Y","Y",250,6.00," "
"  1420         ","Y","Y","Y",230,6.00," "
"  1421         ","Y","Y","Y",230,6.00," "
"  1422         ","Y","Y","Y",230,6.00," "
"  1423         ","Y","Y","Y",230,6.00," "
"  1424         ","Y","Y","Y",230,6.00," "
"  1425         ","Y","Y","Y",230,6.00," "
"  1426         ","Y","Y","Y",230,6.00," "
"  1427         ","Y","Y","Y",230,6.00," "
"  1428         ","Y","Y","Y",230,6.00," "
"  1429         ","Y","Y","Y",230,6.00," "
"  1430         ","Y","Y","Y",230,6.00," "
"  1431         ","Y","Y","Y",230,6.00," "
"  1432         ","Y","Y","Y",230,6.00," "
"  1433         ","Y","Y","Y",230,6.00," "
"  1434         ","Y","Y","Y",230,6.00," "
"  1435         ","Y","Y","Y",230,6.00," "
"  1437         ","Y","Y","Y",230,6.00," "
"  1438         ","Y","Y","Y",230,6.00," "
"  1439         ","Y","Y","Y",230,6.00," "
"  1440         ","Y","Y","Y",230,6.00," "
"  1441         ","Y","Y","Y",230,6.00," "
"  1442         ","Y","Y","Y",230,6.00," "
"  1443         ","Y","Y","Y",230,6.00," "
"  1444         ","Y","Y","Y",230,6.00," "
"  1445         ","Y","Y","Y",230,6.00," "
"  1446         ","Y","Y","Y",230,6.00," "
"  1447         ","Y","Y","Y",230,6.00," "
"  1448         ","Y","Y","Y",230,6.00," "
"  1449         ","Y","Y","Y",230,6.00," "
"  1450         ","Y","Y","Y",230,6.00," "
"  1451         ","Y","Y","Y",230,6.00," "
"  1452         ","Y","Y","Y",230,6.00," "
"  1453         ","Y","Y","Y",230,6.00," "
"  1454         ","Y","Y","Y",230,6.00," "
"  1455         ","Y","Y","Y",230,6.00," "
"  1456         ","Y","Y","Y",230,6.00," "
"  1457         ","Y","Y","Y",230,6.00," "
"  1458         ","Y","Y","Y",230,6.00," "
"  1459         ","Y","Y","Y",230,6.00," "
"  1460         ","Y","Y","Y",230,6.00," "
"  1461         ","Y","Y","Y",230,6.00," "
"  1462         ","Y","Y","Y",230,6.00," "
"  1463         ","Y","Y","Y",230,6.00," "
"  1464         ","Y","Y","Y",230,6.00," "
"  1465         ","Y","Y","Y",230,6.00," "
"  1466         ","Y","Y","Y",230,6.00," "
"  1467         ","Y","Y","Y",230,6.00," "
"  1468         ","Y","Y","Y",230,6.00," "
"  1469         ","Y","Y","Y",230,6.00," "
"  1471         ","Y","Y","Y",230,6.00," "
"  1472         ","Y","Y","Y",230,6.00," "
"  1473         ","Y","Y","Y",230,6.00," "
"  1474         ","Y","Y","Y",230,6.00," "
"  1475         ","Y","Y","Y",230,6.00," "
"  1476         ","Y","Y","Y",230,6.00," "
"  1477         ","Y","Y","Y",230,6.00," "
"  1478         ","Y","Y","Y",230,6.00," "
"  1479         ","Y","Y","Y",230,6.00," "
"  1480         ","Y","Y","Y",230,6.00," "
"  1481         ","Y","Y","Y",230,6.00," "
"  1482         ","Y","Y","Y",230,6.00," "
"  1483         ","Y","Y","Y",230,6.00," "
"  1484         ","Y","Y","Y",230,6.00," "
"  1485         ","Y","Y","Y",230,6.00," "
"  1486         ","Y","Y","Y",230,6.00," "
"  1487         ","Y","Y","Y",230,6.00," "
"  1488         ","Y","Y","Y",230,6.00," "
"  1489         ","Y","Y","Y",230,6.00," "
"  1490         ","Y","Y","Y",230,6.00," "
"  1491         ","Y","Y","Y",230,6.00," "
"  1492         ","Y","Y","Y",230,6.00," "
"  1493         ","Y","Y","Y",200,6.00," "
"  1494         ","Y","Y","Y",230,6.00," "
"  1495         ","Y","Y","Y",230,6.00," "
"  1497         ","Y","Y","Y",230,6.00," "
"  1498         ","Y","Y","Y",230,6.00," "
"  1499         ","Y","Y","Y",230,6.00," "
"  1500         ","Y","Y","Y",230,6.00," "
"  1502         ","Y","Y","Y",230,6.00," "
"  1503         ","Y","Y","Y",230,6.00," "
"  1504         ","Y","Y","Y",230,6.00," "
"  1505         ","Y","Y","Y",230,6.00," "
"  1506         ","Y","Y","Y",230,6.00," "
"  1507         ","Y","Y","Y",230,6.00," "
"  1508         ","Y","Y","Y",230,6.00," "
"  1509         ","Y","Y","Y",230,6.00," "
"  1510         ","Y","Y","Y",230,6.00," "
"  1511         ","Y","Y","Y",230,6.00," "
"  1512         ","Y","Y","Y",230,6.00," "
"  1513         ","Y","Y","Y",230,6.00," "
"  1514         ","Y","Y","Y",230,6.00," "
"  1515         ","Y","Y","Y",230,6.00," "
"  1516         ","Y","Y","Y",230,6.00," "
"  1517         ","Y","Y","Y",230,6.00," "
"  1518         ","Y","Y","Y",230,6.00," "
"  1519         ","Y","Y","Y",230,6.00," "
"  1520         ","Y","Y","Y",250,6.00," "
"  1521         ","Y","Y","Y",250,6.00," "
"  1522         ","Y","Y","Y",250,6.00," "
"  1523         ","Y","Y","Y",250,6.00," "
"  1524         ","Y","Y","Y",250,6.00," "
"  1525         ","Y","Y","Y",250,6.00," "
"  1526         ","Y","Y","Y",250,6.00," "
"  1527         ","Y","Y","Y",250,6.00," "
"  1528         ","Y","Y","Y",250,6.00," "
"  1529         ","Y","Y","Y",250,6.00," "
"  1530         ","Y","Y","Y",250,6.00," "
"  1531         ","Y","Y","Y",250,6.00," "
"  1532         ","Y","Y","Y",250,6.00," "
"  1533         ","Y","Y","Y",250,6.00," "
"  1534         ","Y","Y","Y",250,6.00," "
"  1535         ","Y","Y","Y",250,6.00," "
"  1536         ","Y","Y","Y",250,6.00," "
"  1537         ","Y","Y","Y",250,6.00," "
"  1538         ","Y","Y","Y",250,6.00," "
"  1539         ","Y","Y","Y",250,6.00," "
"  1540         ","Y","Y","Y",250,6.00," "
"  1541         ","Y","Y","Y",250,6.00," "
"  1542         ","Y","Y","Y",250,6.00," "
"  1543         ","Y","Y","Y",250,6.00," "
"  1544         ","Y","Y","Y",250,6.00," "
"  1545         ","Y","Y","Y",250,6.00," "
"  1546         ","Y","Y","Y",250,6.00," "
"  1547         ","Y","Y","Y",250,6.00," "
"  1548         ","Y","Y","Y",250,6.00," "
"  1549         ","Y","Y","Y",250,6.00," "
"  9999         ","Y","Y","Y",230,6.00," "
"  1501         ","Y","Y","Y",200,6.00," "
"  1550         ","Y","Y","Y",250,6.00," "
"  1551         ","Y","Y","Y",250,6.00," "
"  1552         ","Y","Y","Y",250,6.00," "
"  1553         ","Y","Y","Y",250,6.00," "
"  1554         ","Y","Y","Y",250,6.00," "
"  1555         ","Y","Y","Y",250,6.00," "
"  1556         ","Y","Y","Y",250,6.00," "
"  1557         ","Y","Y","Y",250,6.00," "
"  1558         ","Y","Y","Y",250,6.00," "
"  1559         ","Y","Y","Y",250,6.00," "
"  1560         ","Y","Y","Y",250,6.00," "
"  1561         ","Y","Y","Y",250,6.00," "
"  1563         ","Y","Y","Y",250,6.00," "
"  1564         ","Y","Y","Y",250,6.00," "
"  1565         ","Y","Y","Y",250,6.00," "
"  1566         ","Y","Y","Y",250,6.00," "
"  1567         ","Y","Y","Y",250,6.00," "
"  1568         ","Y","Y","Y",250,6.00," "
"  1569         ","Y","Y","Y",250,6.00," "
"  1570         ","Y","Y","Y",250,6.00," "
"  1572         ","Y","Y","Y",250,6.00," "
"  1573         ","Y","Y","Y",250,6.00," "
"  1574         ","Y","Y","Y",250,6.00," "
"  1575         ","Y","Y","Y",250,6.00," "
"  1576         ","Y","Y","Y",250,6.00," "
"  1577         ","Y","Y","Y",250,6.00," "
"  1578         ","Y","Y","Y",250,6.00," "
"  1579         ","Y","Y","Y",250,6.00," "
"  1580         ","Y","Y","Y",250,6.00," "
"  1581         ","Y","Y","Y",250,6.00," "
"  1582         ","Y","Y","Y",250,6.00," "
