UNUNIT,UNYEAR,UNMAKE
535,1996,PETERBILT   
534,1996,PETERBILT   
533,1996,PETERBILT   
532,1996,PETERBILT   
531,1996,PETERBILT   
526,1996,PETERBILT   
238,1995,PETERBILT   
536,1997,PETERBILT   
537,1997,PETERBILT   
538,1997,PETERBILT   
539,1997,PETERBILT   
540,1997,PETERBILT   
1,1996,            
1,1900,SYSTEM TEST 
121,1999,PETERBILT   
1505,2012,FREIGHTLINER
1506,2012,FREIGHTLINER
1507,2012,FREIGHTLINER
1508,2012,FREIGHTLINER
1509,2012,FREIGHTLINER
243,2005,VOLVO       
244,2005,VOLVO       
245,2008,VOLVO       
246,2008,VOLVO       
1510,2012,FREIGHTLINER
1511,2012,FREIGHTLINER
1512,2012,FREIGHTLINER
1513,2012,FREIGHTLINER
1514,2012,FREIGHTLINER
1515,2012,FREIGHTLINER
1516,2012,FREIGHTLINER
1517,2012,FREIGHTLINER
1518,2012,FREIGHTLINER
1519,2012,FREIGHTLINER
1520,2012,VOLVO       
1521,2012,VOLVO       
1522,2012,VOLVO       
1523,2012,VOLVO       
1524,2012,VOLVO       
1525,2012,VOLVO       
1526,2012,VOLVO       
1527,2012,VOLVO       
1528,2012,VOLVO       
1529,2012,VOLVO       
1530,2012,VOLVO       
1531,2012,VOLVO       
1532,2012,VOLVO       
1533,2012,VOLVO       
1534,2012,VOLVO       
1535,2012,VOLVO       
1536,2012,VOLVO       
1537,2012,VOLVO       
1538,2012,VOLVO       
1539,2012,VOLVO       
1540,2012,VOLVO       
1541,2012,VOLVO       
1542,2012,VOLVO       
1543,2012,VOLVO       
1544,2012,VOLVO       
1545,2012,VOLVO       
1546,2012,VOLVO       
1547,2012,VOLVO       
1548,2012,VOLVO       
1549,2012,VOLVO       
1550,2013,VOLVO       
1551,2013,VOLVO       
1552,2013,VOLVO       
1554,2013,VOLVO       
1555,2013,VOLVO       
1556,2013,VOLVO       
1557,2013,VOLVO       
1558,2013,VOLVO       
1559,2013,VOLVO       
1560,2013,VOLVO       
