,tr_drvr_code,tr_unit_id,Total_Fuel_Purchased,DriverID_x,EquipmentID_x,odo_min,odo_max,Total_dist_driven,mpg_drvr_truck,DriverID_y,EquipmentID_y,Perf_TotalFuelUsed,Perf_Distance,mpg_perf,diff_fuel_purchased
1684,WAGL,1534,14154.900390625,WAGL,1534,478171.4,501430.6,23259.199999999953,1.6431906518681592,WAGL,1534,3171.6,21266.0,6.705133055870854,10983.300390625
300,CHAD,2046,9721.5595703125,CHAD,2046,18.2,68778.3,68760.1,7.0729495100743085,CHAD,2046,325.5,2405.0,7.38863287250384,9396.0595703125
256,BYRCHR,1734,23087.189453125,BYRCHR,1734,383534.9,534897.7,151362.79999999993,6.556137996238949,BYRCHR,1734,15385.800000000003,108548.0,7.055076759089549,7701.389453124997
173,BOUB,1926,27916.279296875,BOUB,1926,92640.9,306093.7,213452.80000000002,7.646176545593392,BOUB,1926,20690.9,148628.0,7.183254474189136,7225.3792968749985
1233,PEAD,1584,7179.93994140625,,,,,,,PEAD,1584,0.0,1.0,inf,7179.93994140625
1157,NANP,1899,22027.359375,NANP,1899,57819.3,241628.6,183809.3,8.344590782343833,NANP,1899,14865.000000000004,108378.0,7.290817356205851,7162.359374999996
650,GRAJOH,1645,12789.8896484375,GRAJOH,1645,516558.7,603582.6,87023.89999999997,6.804116563322452,GRAJOH,1645,5717.299999999999,39234.0,6.862330120861246,7072.589648437501
168,BONZ,1919,26611.330078125,BONZ,1919,89987.2,281024.2,191037.0,7.1787843538506895,BONZ,1919,19774.8,144467.0,7.305611181908287,6836.530078125001
183,BRAE,1943,25469.990234375,BRAE,1943,85048.6,258473.7,173425.1,6.808997506639822,BRAE,1943,18718.300000000003,133695.0,7.142475545321957,6751.690234374997
1436,SAVE,1934,26680.240234375,SAVE,1934,91862.0,282397.8,190535.8,7.1414574353986655,SAVE,1934,20314.9,148954.0,7.332253666028382,6365.3402343749985
687,HALCH,1873,26267.9609375,HALCH,1873,105160.0,223187.1,118027.1,4.493196113730516,HALCH,1873,19978.6,139521.0,6.983522368934761,6289.3609375000015
312,CHRN,1792,25463.779296875,CHRN,1792,241955.2,429997.6,188042.39999999997,7.3847011399080555,CHRN,1792,19237.499999999996,149707.0,7.782040285899937,6226.279296875004
1017,LOVJE,1725,11952.9296875,LOVJE,1725,458283.6,537012.1,78728.5,6.586544224578833,LOVJE,1725,5742.500000000002,39499.0,6.8783630822812345,6210.429687499998
1040,MARC,1958,24910.4296875,MARC,1958,76466.8,264055.8,187589.0,7.53054051468778,MARC,1958,18749.299999999996,146315.0,7.803758006965595,6161.129687500004
480,DYET,1918,24900.7890625,DYET,1918,62779.2,249408.8,186629.59999999998,7.494927149961675,DYET,1918,18754.099999999995,127626.0,6.805231922619589,6146.689062500005
400,CUNW,1843,24954.509765625,CUNW,1843,144636.8,317693.9,173057.10000000003,6.934902814175389,CUNW,1843,18860.2,136994.0,7.2636557406602265,6094.309765624999
1587,STRAND,1728,20828.990234375,STRAND,1728,341824.3,474918.8,133094.5,6.389868087812931,STRAND,1728,14739.600000000002,101962.0,6.917555428912588,6089.390234374998
1361,RICC,1784,24159.080078125,RICC,1784,236582.2,400013.5,163431.3,6.7647981409681215,RICC,1784,18260.399999999998,129819.0,7.109318525333509,5898.680078125002
230,BUFDE,1993,25841.01953125,BUFDE,1993,47379.3,228003.2,180623.90000000002,6.989813222406661,BUFDE,1993,19957.0,143764.0,7.203687929047452,5884.01953125
1393,RODMAR,1787,23504.720703125,RODMAR,1787,224306.6,384338.5,160031.9,6.808500386848818,RODMAR,1787,17627.500000000004,129487.0,7.345738193164089,5877.220703124996
1346,RENT,1884,16456.98046875,RENT,1884,136784.2,251778.8,114994.59999999998,6.9875880462009485,RENT,1884,10595.000000000004,76583.0,7.228220858895703,5861.980468749996
