,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
1,WAGL,1534,14154.900,478171.4,501430.6,23259.2,1.643,21266,3171.6,6.705,10983.300,,,
2,CHAD,2046,9721.560,18.2,68778.3,68760.1,7.073,2405,325.5,7.389,9396.060,,,
3,BYRCHR,1734,23087.189,383534.9,534897.7,151362.8,6.556,108548,15385.8,7.055,7701.389,,,
4,BOUB,1926,27916.279,92640.9,306093.7,213452.8,7.646,148628,20690.9,7.183,7225.379,,,
5,NANP,1899,22027.359,57819.3,241628.6,183809.3,8.345,108378,14865,7.291,7162.359,,,
6,GRAJOH,1645,12789.890,516558.7,603582.6,87023.9,6.804,39234,5717.3,6.862,7072.590,,,
7,BONZ,1919,26611.330,89987.2,281024.2,191037,7.179,144467,19774.8,7.306,6836.530,,,
8,BRAE,1943,25469.990,85048.6,258473.7,173425.1,6.809,133695,18718.3,7.142,6751.690,,,
9,SAVE,1934,26680.240,91862,282397.8,190535.8,7.141,148954,20314.9,7.332,6365.340,,,
10,HALCH,1873,26267.961,105160,223187.1,118027.1,4.493,139521,19978.6,6.984,6289.361,,,
11,CHRN,1792,25463.779,241955.2,429997.6,188042.4,7.385,149707,19237.5,7.782,6226.279,,,
12,LOVJE,1725,11952.930,458283.6,537012.1,78728.5,6.587,39499,5742.5,6.878,6210.430,,,
13,MARC,1958,24910.430,76466.8,264055.8,187589,7.531,146315,18749.3,7.804,6161.130,,,
14,DYET,1918,24900.789,62779.2,249408.8,186629.6,7.495,127626,18754.1,6.805,6146.689,,,
15,CUNW,1843,24954.510,144636.8,317693.9,173057.1,6.935,136994,18860.2,7.264,6094.310,,,
16,STRAND,1728,20828.990,341824.3,474918.8,133094.5,6.390,101962,14739.6,6.918,6089.390,,,
17,RICC,1784,24159.080,236582.2,400013.5,163431.3,6.765,129819,18260.4,7.109,5898.680,,,
18,BUFDE,1993,25841.020,47379.3,228003.2,180623.9,6.990,143764,19957,7.204,5884.020,,,
19,RODMAR,1787,23504.721,224306.6,384338.5,160031.9,6.809,129487,17627.5,7.346,5877.221,,,
20,RENT,1884,16456.980,136784.2,251778.8,114994.6,6.988,76583,10595,7.228,5861.980,,,
21,WYLT,1956,22892.029,66424.2,233701.1,167276.9,7.307,128469,17089.5,7.517,5802.529,,,
22,MCCMIK,1913,19752.570,131046.9,273409.8,142362.9,7.207,105166,13984.7,7.520,5767.870,,,
23,GOAJ,1871,23294.430,101136.5,269133.2,167996.7,7.212,130830,17533.4,7.462,5761.030,,,
24,JEFST,1703,22889.400,367636.4,521998.6,154362.2,6.744,121426,17220.4,7.051,5669.000,,,
25,CROMA,1836,16347.870,170902.9,281788.6,110885.7,6.783,76245,10711.7,7.118,5636.170,,,
26,BINA,1961,24732.830,72778.3,249076.2,176297.9,7.128,140299,19097.1,7.347,5635.730,,,
27,DOOB,1732,13399.290,442044.1,527532.8,85488.7,6.380,51700,7803.9,6.625,5595.390,,,
28,MCGROB,1996,18727.301,43202.2,179724.3,136522.1,7.290,100318,13142.8,7.633,5584.501,,,
29,GALJU,1814,24359.850,186640.9,356295.4,169654.5,6.965,136503,18783.2,7.267,5576.650,,,
30,CAIB,1766,25169.141,73821.8,475846.5,402024.7,15.973,139511,19594.5,7.120,5574.641,,,
31,LEVS,1933,12079.190,0,232219.5,232219.5,19.225,49072,6507.5,7.541,5571.690,,,
32,VANC,1905,24043.869,91591.4,265437.5,173846.1,7.230,141169,18472.9,7.642,5570.969,,,
33,STEMI,2035,18515.279,18.6,135563.1,135544.5,7.321,94974,13002.9,7.304,5512.379,,,
34,AMMC,1952,15518.640,108698,220263.1,111565.1,7.189,75155,10011,7.507,5507.640,,,
35,GRIST,1852,25257.500,123456.6,302571.9,179115.3,7.092,144074,19753.7,7.294,5503.800,,,
36,PETD,1718,21986.279,358562.4,507734.2,149171.8,6.785,121385,16483.7,7.364,5502.579,,,
37,PASD,1951,21610.869,52733.8,202420.8,149687,6.926,116488,16108.7,7.231,5502.169,,,
38,FARE,1677,11517.220,453102.9,531804.1,78701.2,6.833,45025,6029,7.468,5488.220,,,
39,LONRO,1877,20634.311,87776.2,229619.9,141843.7,6.874,110172,15182.7,7.256,5451.611,,,
40,BURJO,1810,6922.940,235986.6,283610.8,47624.2,6.879,10378,1502.4,6.908,5420.540,,,
41,VAUJAM,2003,25733.971,36831.9,221559.2,184727.3,7.178,150883,20326.5,7.423,5407.471,,,
42,CULD,1715,21161.619,372613.5,510611.3,137997.8,6.521,104974,15764.8,6.659,5396.819,,,
43,BAET,2030,18902.250,6063.6,134598,128534.4,6.800,97148,13518.4,7.186,5383.850,,,
44,BURST,1748,18562.920,414315.6,539818.4,125502.8,6.761,98819,13202.3,7.485,5360.620,,,
45,HARWI,1974,24215.520,58749.1,232525.9,173776.8,7.176,139216,18856.1,7.383,5359.420,,,
46,THODAV,1872,22210.600,92328.3,257172,164843.7,7.422,129736,16857.1,7.696,5353.500,,,
47,OWEE,2048,16570.100,3810.7,116462.2,112651.5,6.798,83153,11226.7,7.407,5343.400,,,
48,FELC,1969,8381.380,130758.5,184094.3,53335.8,6.364,21501,3071.1,7.001,5310.280,,,
49,HOLJON,2007,20987.910,1747.2,151693.9,149946.7,7.144,114690,15686.3,7.311,5301.610,,,
50,BARCR,1790,13655.500,216480.1,316894.6,100414.5,7.353,62664,8359.7,7.496,5295.800,,,
51,HILF,1946,17663.930,95142.5,219027,123884.5,7.013,90794,12384.5,7.331,5279.430,,,
52,BEVR,1970,22946.490,57042,213378.6,156336.6,6.813,127174,17671.8,7.196,5274.690,,,
53,RILJ,2082,7476.170,470.8,53887,53416.2,7.145,15994,2222.7,7.196,5253.470,,,
54,RANST,1701,16783.260,392640,504053.9,111413.9,6.638,76688,11535.6,6.648,5247.660,,,
55,LINJ,2081,8012.540,3036.8,57216.4,54179.6,6.762,20462,2791.8,7.329,5220.740,,,
56,CHAJO,1808,23127.570,181974.5,343028.2,161053.7,6.964,128563,17912.3,7.177,5215.270,,,
57,THOST,1906,17802.400,37880.4,246210.4,208330,11.702,91747,12588.3,7.288,5214.100,,,
58,JONCH,1722,22371.250,325256.9,476428.2,151171.3,6.757,121290,17162.3,7.067,5208.950,,,
59,CARRO,2064,13210.740,19.6,90663.8,90644.2,6.861,57250,8002.8,7.154,5207.940,,,
60,PITH,2020,23095.699,456.2,164637.9,164181.7,7.109,130014,17887.9,7.268,5207.799,,,
61,WILANT,1716,24093.109,341249.2,507795.2,166546,6.913,133798,18886.8,7.084,5206.309,,,
62,LINED,1870,19740.170,100218,242474.6,142256.6,7.206,107202,14537.8,7.374,5202.370,,,
63,BOLR,1902,20099.609,71068.4,215066.5,143998.1,7.164,110522,14902.2,7.416,5197.409,,,
64,DAVJO,1724,19413.590,306817.7,437275.8,130458.1,6.720,107302,14219.8,7.546,5193.790,,,
65,SHEMI,1763,21930.119,297017.2,444901.9,147884.7,6.743,118116,16744.2,7.054,5185.919,,,
66,DEPK,2017,21256.859,15000.7,168601.2,153600.5,7.226,118806,16095.7,7.381,5161.159,,,
67,HERD,1664,6624.550,467311.7,861003.9,393692.2,59.429,10641,1483.6,7.172,5140.950,,,
68,ALBME,1696,17772.830,396183.2,514256.1,118072.9,6.643,87699,12637.1,6.940,5135.730,,,
69,RINB,1704,14388.530,334064.2,428089.7,94025.5,6.535,61742,9265.8,6.663,5122.730,,,
70,TUSR,1795,7511.630,309219,360481.1,51262.1,6.824,16660,2392.8,6.963,5118.830,,,
71,MURRO,1669,12070.000,474481.4,556574.1,82092.7,6.801,49230,6953.4,7.080,5116.600,,,
